Arbol;Tree
Rio;River
Montaña;Mountain
Mar;Sea
Cielo;Sky
Sol;Sun
Luna;Moon
Estrella;Star
Nube;Cloud
Lluvia;Rain
Viento;Wind
Roca;Rock
Playa;Beach
Bosque;Forest
Hoja;Leaf
Flor;Flower
Raiz;Root
Semilla;Seed
Animal;Animal
Insecto;Insect
Aves;Birds
Reptil;Reptile
Mamífero;Mammal
Pescado;Fish
Zorro;Fox
Liebre;Hare
Ciervo;Deer
Conejo;Rabbit
Serpiente;Snake
Tigre;Tiger
León;Lion
Elefante;Elephant
Jirafa;Giraffe
Cebra;Zebra
Buho;Owl
Aguila;Eagle
Halcon;Falcon
Canguro;Kangaroo
Koala;Koala
Ballena;Whale
Delfin;Dolphin
Tiburon;Shark
Cangrejo;Crab
Estalactita;Stalactite
Estalagmitas;Stalagmite
Cueva;Cave
Volcán;Volcano
Glaciar;Glacier
Isla;Island
Desierto;Desert
Jungla;Jungle
Tierra;Earth
Fuego;Fire
Agua;Water
